node_id,mondo_definition,t-SNE 1,t-SNE 2
1,A disease is a disposition to undergo pathological processes that exists in an organism because of one or more disorders in that organism.,-2.4895737,-0.09507898
1000,Pneumoconiosis caused by the inhalation of mixed mineral dust particles.,-1.5219774,-5.4805317
10000,,-3.9229047,-6.8020954
100000,"An X-linked syndromic intellectual disability that that includes subtypes of the heterogeneous, eponymously named Lujan-Fryns syndrome, X-linked Ohdo syndrome, and Optiz-Kaveggia/ FG syndrome, which is caused by mutations in the gene MED12. The common and most penetrant phenotype shared amongst these disease entities is intellectual disability, with dysgenesis or agenesis of the corpus callosum, blepharophimosis, and marfanoid habitus having variable phenotypic expressivity.",-7.038605,7.2432823
100001,"An IgE antibody response to a mammalian oligosaccharide epitope, galactose-alpha-1,3-galactose (alpha-gal).",-1.3734037,-2.327595
100002,A benign inflammatory colitis caused by a non-IgE-mediated immune reaction to ingested food proteins.,-3.5450528,-2.6634715
100004,A clinically defined disease states with a largely unknown morphological background. Acute mast cell activation (MCA) is commonly seen in allergic reactions and often leads to the clinical signs and symptoms of anaphylaxis. Severe or even life‐threatening MCA may occur when the burden of mast cells is high and/or these cells are in an hyperactivated state. Mastocytosis may be associated with mast cell activation syndrome (MCAS).,-1.8290356,0.43991688
100005,Mast cell activation syndrome where KIT-mutated and clonal mast cells are detected.,-2.2527544,-0.25793287
100006,"Mast cell activation syndrome where an underlying inflammatory disease is present, often in the form of an IgE-dependent allergy, but there are no KIT-mutated mast cells.",-2.2527544,-0.25793287
100008,An eosinophilic gastrointestinal disorder triggered by food that is non-IgE-mediated.,-1.4691153,-3.1156518
100010,Disorders that are causes by overuse of tendons.,-2.091608,0.09476945
100011,The chronic degeneration of a tendon without inflammation.,-4.993963,-3.3547637
100012,"Inflammation of the outer layer of the tendon (paratenon) alone, whether or not the paratenon is lined by synovium.",-1.3738192,-0.478158
100013,Paratenonitis associated with intratendinous degeneration.,-2.8759155,-1.7715547
100014,"An autoimmune disease characterized by sudden onset of photopsias and scotomata in patients with no family history of retinitis pigmentosa, followed by visual field and central vision loss.",-4.4440155,2.9302456
100015,,-3.3829362,4.670101
100019,"A paroxysmal dyskinesia which manifest as dystonic movements brought on by sustained exercise, that is correlated with a deficiency in the gene ECHS1 (caused by a missence mutation). Onset is typically between age two and four years.",-4.580435,8.370105
10001_19287_23046_23048,"The term ''ectodermal dysplasia'' defines a heterogeneous group of heritable disorders of the skin and its appendages characterized by the defective development of two or more ectodermal derivatives, including hair, teeth, nails, sweat glands and their modified structures (i.e. ceruminous, mammary and ciliary glands). The spectrum of clinical manifestations is wide and may include additional manifestations from other ectodermal, mesodermal and endodermal structures.",6.7763777,1.243979
100020,"A childhood-onset epilepsy that is characterized by frequent seizures of multiple types, including nocturnal focal motor and fronto-parietal opercular seizures, and daytime focal motor seizures with negative myoclonus and atypical absence seizures. Centrotemporal sharp waves are seen on EEG. During the phase of the epilepsy when seizures are frequent, neuropsychological deficits and motor impairment may be present. These deficits improve when seizures remit.",-3.4484575,3.6743793
100021,A childhood-onset epilepsy that is characterized by the presence of visually-induced focal occipital lobe seizures. A proportion of patients with this syndrome have developmental delays and learning difficulty.,-3.4487488,3.6744504
100022,An epilepsy sydrome that has an onset during the neonatal or infantile stage of life.,-5.061473,7.745344
100023_100024,A neonatal/infantile epilepsy sndrome that is characterized by the onset of seizures that start in the in the neonate between day 4 and 7 of life and are often unilateral clonic events that recur and may alternate sides from seizure to seizure. Seizures can be repetitive over hours to days. Seizures remit by 4-6 months of age. A proportion of those affected may have seizures in later life. The child is expected to have normal developmental progress.,-3.0417197,4.277272
100025,"This syndrome is characterized by onset of refractory focal seizures in the first year of life, with associated severe encephalopathy. Focal seizures arise independently in both hemispheres and can migrate from one cortical region to another randomly but consecutively in the same seizure. Seizures are often prolonged with episodes of status epilepticus. Prognosis is poor with severe neurological disability and reduced life expectancy, although a milder evolution has been reported in a few children.",-3.0417197,4.277272
100026,"This group of epilepsies are typically is characterized by onset of seizures from day 1 of life to 5 years (peak 12 months). Both sexes are affected, however the male to female ratio is 1:2. Antecedent (including birth) history, head size, neurological and developmental findings reflect the underlying cause (if known). Myoclonic status epilepticus is often the initial presenting seizure type, however other initial seizure types may also occur. Prognosis is unfavorable with severe neurological and developmental impairments typically seen.",-3.0417867,4.277391
100027,"These epilepsy syndromes are characterized by the presence of febrile seizures in an individual that may continue past the usual age where these are expected to resolve and/or be accompanied by afebrile seizures that may be generalized seizures (tonic-clonic, atonic, myoclonic, myoclonic-atonic or absence) or focal seizures. Febrile seizures plus and genetic epilepsy with febrile seizures plus are distinguished on the basis of family history. A number of dominantly inherited genes have been linked to these syndromes, with implications for specific genetic counseling, due to the variable severity of the resulting epilepsy in different family members.",-0.6772843,-8.978626
100028,"Epilepsies that have a distinct immune-mediated etiology with evidence of central nervous system inflammation, that has been demonstrated to be associated with a substantially increased risk of developing epilepsy.",-4.979492,7.922206
100029,An immune epilepsy where the underlying cause is antibody mediated.,-5.908846,2.5769033
10003,,3.123372,-5.5484953
100030,An epilepsy syndrome that has an onset during the adolescent or adult stage of life.,-5.097645,7.61508
100031,"A genetic focal epilepsy, with focal sensory auditory seizures seen in family members. Seizures often comprise such mild symptoms that they are undiagnosed. There are no implications expected for development or learning and seizures are typically infrequent and well controlled.",-5.4576654,7.395593
100033,"Metabolic epilepsies are conceptualized as having a distinct metabolic abnormality that has been demonstrated to be associated with a substantially increased risk of developing epilepsy in appropriately designed studies. Metabolic disorders have genetic origin; however, the metabolic abnormalities are a separate disorder interposed between the genetic defect and the epilepsy.",-4.2831736,7.4002714
100034,"Cerebral folate deficiency is defined as a neurological syndrome associated with low CSF 5-methyltetrahydrofolate (5MTHF), the active folate metabolite, in the presence of normal folate metabolism outside the nervous system. Cerebral folate deficiency can result from either disturbed folate transport or from increased folate turnover within the central nervous system.",-2.3681276,2.8974755
100035,"Structural epilepsies are conceptualized as having a distinct structural brain abnormality that has been demonstrated to be associated with a substantially increased risk of epilepsy in appropriately designed studies. The structural brain abnormality can be acquired (such as due to stroke, trauma or infection) or may be of genetic origin; however, as we currently understand it, the structural brain abnormality is a separate disorder interposed between the acquired or genetic defect and the epilepsy.",-6.350122,2.0997252
100036,An epilepsy syndrome that has an onset during variable ages and stages of life.,-4.9805307,7.85384
100038,"A disorder that involves more than one phenotype associated with the central nervous system, including but not limited to intellectual disability, autism, and seizures (epilepsy).",-5.8214054,7.364495
100039,A monogenic disease that has material basis in mutation in the CDKL5 gene.,-5.4394517,7.155076
10004,"EEC syndrome is a genetic developmental disorder characterized by ectrodactyly, ectodermal dysplasia, and orofacial clefts (cleft lip/palate).",7.1535077,1.4701738
100040,A monogenic disease that has material basis in mutation in the FOXG1 gene.,-5.6094346,7.3435817
10005,Saccharopinuria is a disorder of lysine metabolism associated with hyperlysinaemia and lysinuria.,5.4685583,7.310647
100051,"Mast cell activation syndrome where neither an allergy or other underlying disease is association, nor KIT-mutated mast cells are detectable.",-2.2531645,-0.25730467
100052,"Periodic spells of incoordination and imbalance, that is, episodes of ataxia typically lasting from 10 minutes to several hours or days, with improvement upon therapy with acetazolamide.",-8.686794,3.956192
100053,"An acute hypersensitivity reaction that occurs from exposure to an allergen. It results from the release of histamine and histamine-like substances from mast cells, and can present with breathing difficulty due to narrowed airways, dizziness and hypotension, skin rash, weak pulse, nausea and vomiting.",0.5367117,-1.0541049
100054,Idiopathic anaphylaxis is a rare form of anaphylaxis for which triggers cannot be identified despite a detailed history and careful diagnostic assessment.,-1.6168882,-4.237563
100056,A rare disorder in which anaphylaxis occurs in association with physical activity.,-1.888807,-4.2917666
100057,"A subset of exercise-induced anaphylaxis in which symptoms develop if exertion takes place within a few hours of eating a specific food. In the case of food-dependent exercise-induced anaphylaxis, neither the food nor the exercise alone is enough to cause anaphylaxis.",-9.356037,-2.907505
100058_9385,,4.2234545,-5.5680165
100059,"Long-lasting, unexplained and asymptomatic blood hypereosinophilia.",-0.6783249,-8.975812
100061,"A peripheral neuropathy that is characterized by variants in PRPS1, which causes decreased or impaired function of the PRPS1 enzyme, and presents as a range of peripheral neuropathies that can include features of Charcot-Marie Tooth syndrome, Arts syndrome, or nonsyndromic hearing loss.",-2.3993618,5.353216
100063,A rare soft tissue neoplasm that displays a perivascular pattern of spindle-to-ovoid cell proliferation.,-7.1383557,-2.3915286
100064,"Tyrosine hydroxylase (TH) deficiency is an autosomal recessive disorder characterized by a spectrum of phenotypic features, based on severity and response to levodopa. It can be broadly categorized into TH-deficient dopa-responsive dystonia (mild, with dramatic and sustained response to levodopa), TH-deficiency infantile parkinsonism with motor delay (severe, with incomplete response to levodopa), and TH-deficiency infantile encephalopathy (very severe, with little to no response to levodopa).",-5.1348386,7.5252123
100065,"A tyrosine hydroxylase deficiency with onset typically between age three and 12 months. Motor milestones are overtly delayed in this severe form. Affected infants demonstrate truncal hypotonia and parkinsonian symptoms and signs (hypokinesia, rigidity of extremities, and/or tremor).",-4.059711,4.535015
100066,"A tyrosine hydroxylase deficiency in which individuals are extremely sensitive to levodopa therapy. In this very severe form, treatment with levodopa is often limited by intolerable dyskinesias.",-4.059711,4.535015
100068,"SLC10A7 deficiency is characterized by compound heterozygous mutations in the SLC10A7 gene, a gene of unknown function in humans. It combines overlapping clinical phenotypes characterized by short stature, defective enamel formation (amelogenesis imperfecta), skeletal dysplasia, facial dysmorphism, moderate hearing impairment and mildly impaired intellectual developmen.",-2.9247162,5.9726214
100069,"A syndromic genetic deafness characterized by segregation of nonsyndromic hearing loss in females and hearing loss with infertility in males. Affected males have been reported to have low count to absent sperm, immobile sperm, and/or sperm with abnormal morphology.",-8.512529,4.337733
10006_17723_17722_17721,A Sandhoff disease that occurs in an adult.,6.206185,5.391388
10007,"Microbrachycephaly-ptosis-cleft lip syndrome is characterised by the association of intellectual deficit, microbrachycephaly, hypotelorism, palpebral ptosis, a thin/long face, cleft lip, and anomalies of the lumbar vertebra, sacrum and pelvis. It has been described in two Brazilian sisters. Transmission appears to be autosomal recessive.",7.321249,-6.627532
100070,"A disease or disorder that affects the neuroendocrine gland, any of the organized aggregations of cells that function as secretory or excretory organs and that release hormones in response to neural stimuli.",-1.7668891,-0.0040961076
100071,"Cardiocutaneous syndromes are those in which phenotypic manifestations occur in the heart, skin, and/or hair. Variation in the genes of interest may occur in both an autosomal dominant inheritance pattern and autosomal recessive, which may lead to earlier and/or more severe phenotypic presentation.",-1.3614086,3.9063997
100072,"Neonatal diabetes, congenital sensorineural hearing loss and congenital cataracts is characterized by the three primary phenotypes of neonatal diabetes, congenital sensorineural hearing loss and congenital cataracts. Cases have reported additional varying phenotypes, including optic atrophy, hypothyroidism, severe neonatal hypotonia in males, developmental delay, facial abnormalities, and a few other more rare phenotypes. The severity and congenital onset of the phenotypes distinguish these patients from Wolfram-like syndrome patients.",-8.512529,4.337733
100073,"Infections caused by a strain of Staphylococcus aureus that is non-susceptible to the action of the antibiotic, methicillin. The mechanism of resistance usually involves modification of normal or the presence of acquired penicillin binding proteins.",-0.678518,-8.975399
100074,"Infections caused by viruses of the genus in the family caliciviridae, which is associated with epidemic gastroenteritis in humans.",-2.9296267,-4.284734
100075,A traumatic or pathologic injury to the jaw in which the continuity of the bone is broken.,-1.4509962,0.9178072
10008,Sarcosinemia is a metabolic disorder characterized by an increased concentration of sarcosine in plasma and urine due to sarcosine dehydrogenase deficiency.,4.6121616,-6.093895
100080,"Cardioectodermal syndromes are those in which phenotypic manifestations occur in the heart, skin, and/or hair. Variation in the genes of interest may occur in both an autosomal dominant inheritance pattern, or in an autosomal recessive inheritance pattern which may result in an earlier and/or more severe phenotypic presentation.",-5.667013,4.9284754
100083,"This is an autosomal dominant disorder caused by mutations in the RUNX1 gene and is characterized by mild to moderate thrombocytopenia, platelet functional and/or ultrastructural defects and a predisposition to hematologic malignancies, most often AML and MDS, and less frequently T-ALL.",4.6949863,1.8773229
100084,"A musculoskeletal system disorder that covers a wide spectrum of phenotypes and is caused by pathogenic variants in the skeletal muscle α-actin gene (ACTA1). These variants lead to a variety of overlapping adult onset and congenital myopathies characterized by muscle weakness, hypotonia, myopathic face, respiratory dysfunction, and rarely cardiac involvement. Specific skeletal muscle structural lesions visible on muscle biopsy include actin accumulations, nemaline and intranuclear bodies, fiber-type disproportion, cores, caps, dystrophic features and zebra bodies. Disorders associated with ACTA1 pathogenic variants can have autosomal dominant (90%) or recessive (10%) inheritance.",-3.199063,8.247171
100085,A cancer that involves the upper limb long bone.,-4.9514756,-3.665127
100086,"A condition affecting an unborn or newly born individual, where the perinatal period is defined in humans as commencing at 22 completed weeks (154 days) of gestation and ending seven completed days after birth. Other, broader definitions of perinatal period cover five months before birth to one month after birth.",-2.2648392,1.1052847
100089,"X-Linked cytopenia characterized by anemia and/or thrombocytopenia. Additional features including platelet dysfunction, dyserythropoesis, mild beta-thalassemia, neutropenia, or congenital erythropoetic porphyria may be present. These GATA1 variants are germline as opposed to GATA1 variants seen in leukemia.",-4.7006702,3.1404355
100091,"An inheritable form of pseudoxanthoma elasticum (PXE), that causes calcium and other minerals to accumulate in the elastic fibers of the skin, eyes, and blood vessels, and less frequently in other areas such as the digestive tract. PXE may cause the following symptoms: growth of yellowish bumps on the skin of the neck, under the arms, or in the groin area; reduced vision; periodic weakness in the legs (claudication); or bleeding in the gastrointestinal tract, particularly the stomach. A clinical diagnosis of PXE can be made when an individual is found to have both the characteristic eye findings and yellow bumps on the skin. ABCC6 is the only gene known to be associated with this condition. Currently, there is no treatment for this condition, but affected individuals may benefit from routine visits to an eye doctor who specializes in retinal disorders, and by having regular physical examinationswith their primary physician.",-6.1533604,5.997959
100092_100093,Familial cortical myoclonus caused by heterozygous mutation in the NOL3 gene on chromosome 16q22.,6.2710514,5.1519504
