Epoch,LR,Loss,Train Micro AUROC,Train Micro AUPRC,Train Macro AUROC,Train Macro AUPRC,Validation Loss,Validation Micro AUROC,Validation Micro AUPRC,Validation Macro AUROC,Validation Macro AUPRC
,,,,,,,,,,,
0,0.0005,0.731,0.4706,0.4635,0.4648,0.4682,0.6908,0.5701,0.5511,0.5709,0.548
5,0.0005,0.5662,0.827,0.8336,0.8155,0.8171,,,,,
10,0.0005,0.4562,0.8957,0.9009,0.8934,0.8951,0.5248,0.821,0.8326,0.8193,0.8242
15,0.0005,0.3863,0.9195,0.9202,0.9191,0.9163,,,,,
20,0.0005,0.4089,0.9068,0.9056,0.906,0.8988,0.5497,0.822,0.8302,0.8251,0.824
25,0.0005,0.4023,0.9031,0.9017,0.9065,0.9029,,,,,
30,0.0004,0.4095,0.9011,0.9007,0.9043,0.9018,0.5479,0.8152,0.8258,0.8243,0.8294
35,0.0004,0.3977,0.906,0.907,0.9073,0.9041,,,,,
40,0.00032,0.3967,0.9063,0.9082,0.9078,0.9055,0.534,0.8259,0.8363,0.8265,0.8305
45,0.00032,0.4046,0.9033,0.9053,0.9052,0.9023,,,,,
50,0.00026,0.3993,0.9057,0.9078,0.9079,0.9056,0.5405,0.8234,0.8343,0.8244,0.8291
55,0.00026,0.3991,0.9056,0.9076,0.9073,0.9049,,,,,
60,0.00026,0.4035,0.9037,0.9057,0.9057,0.9036,0.5393,0.8232,0.8341,0.8251,0.8304
65,0.0002,0.3983,0.9061,0.9081,0.9085,0.9068,,,,,
70,0.0002,0.3999,0.9053,0.9078,0.9072,0.9056,0.5403,0.8223,0.8333,0.8247,0.8304
75,0.00016,0.3997,0.9053,0.9076,0.9076,0.9059,,,,,
80,0.00016,0.3995,0.9056,0.9075,0.9076,0.9059,0.5379,0.8232,0.8342,0.8254,0.831
85,0.00013,0.4015,0.9046,0.9071,0.9065,0.9049,,,,,
90,0.00013,0.4,0.9051,0.9068,0.9073,0.9051,0.5341,0.8249,0.8357,0.8266,0.832
95,0.0001,0.4001,0.9051,0.9074,0.9066,0.9043,,,,,
100,0.0001,0.4012,0.9047,0.9075,0.9066,0.9047,0.5388,0.8229,0.834,0.8247,0.8303
105,8e-05,0.397,0.9066,0.9093,0.9082,0.9066,,,,,
110,8e-05,0.4033,0.9038,0.9063,0.9062,0.9045,0.5406,0.8222,0.8333,0.8239,0.8296
115,8e-05,0.3984,0.9057,0.9083,0.9076,0.9059,,,,,
120,7e-05,0.3977,0.9062,0.9089,0.908,0.9063,0.5353,0.8243,0.8353,0.8258,0.8314
125,7e-05,0.4011,0.9047,0.9072,0.9067,0.9045,,,,,
130,5e-05,0.3999,0.9054,0.9078,0.907,0.9052,0.5372,0.8235,0.8346,0.825,0.8306
135,5e-05,0.3988,0.9058,0.9086,0.9073,0.9055,,,,,
140,4e-05,0.4031,0.904,0.9063,0.9062,0.9047,0.5383,0.823,0.8341,0.8244,0.8301
145,4e-05,0.4007,0.905,0.9074,0.9071,0.9055,,,,,
