Epoch,LR,Loss,Train Micro AUROC,Train Micro AUPRC,Train Macro AUROC,Train Macro AUPRC,Validation Loss,Validation Micro AUROC,Validation Micro AUPRC,Validation Macro AUROC,Validation Macro AUPRC
,,,,,,,,,,,
0,0.0005,0.731,0.4706,0.4635,0.4648,0.4682,0.6908,0.5701,0.5511,0.5709,0.548
5,0.0005,0.5662,0.827,0.8336,0.8155,0.8171,,,,,
10,0.0005,0.4562,0.8957,0.9009,0.8934,0.8951,0.5248,0.821,0.8326,0.8193,0.8242
15,0.0005,0.3818,0.9221,0.9228,0.9215,0.9186,,,,,
20,0.0005,0.322,0.9434,0.9415,0.9404,0.9354,0.4443,0.8729,0.8783,0.8673,0.8669
25,0.0005,0.2737,0.9591,0.9555,0.9537,0.9475,,,,,
30,0.0005,0.239,0.9673,0.9635,0.9615,0.9554,0.3934,0.9035,0.9051,0.8957,0.8921
35,0.0005,0.2154,0.9724,0.9686,0.9669,0.9613,,,,,
40,0.0005,0.1977,0.9761,0.9724,0.9708,0.9655,0.3934,0.9114,0.9105,0.9028,0.8971
45,0.0005,0.1853,0.9786,0.9746,0.9734,0.968,,,,,
50,0.0005,0.1738,0.9809,0.9769,0.9759,0.9702,0.4098,0.9127,0.9117,0.9028,0.8972
55,0.0005,0.1677,0.9819,0.9777,0.9768,0.9709,,,,,
60,0.0005,0.1601,0.9834,0.9799,0.9784,0.9733,0.4285,0.9126,0.9117,0.9019,0.8966
65,0.0005,0.1521,0.9849,0.9816,0.9801,0.9754,,,,,
70,0.0005,0.1466,0.9859,0.9826,0.981,0.9763,0.4467,0.9122,0.9111,0.9007,0.8955
75,0.0005,0.1439,0.9862,0.9828,0.9813,0.9763,,,,,
80,0.0005,0.1397,0.9868,0.9837,0.9821,0.9775,0.4614,0.9116,0.9103,0.8997,0.8945
85,0.0005,0.1361,0.9874,0.9842,0.9828,0.9781,,,,,
90,0.0005,0.1351,0.9875,0.9838,0.9828,0.9775,0.4873,0.9103,0.9091,0.8982,0.8933
95,0.0005,0.1319,0.9881,0.9846,0.9834,0.9783,,,,,
100,0.0005,0.1263,0.989,0.9859,0.9844,0.9799,0.5053,0.9096,0.9085,0.8972,0.8924
105,0.0005,0.1266,0.9891,0.9859,0.9847,0.9802,,,,,
110,0.0005,0.1243,0.9893,0.9864,0.9848,0.9805,0.526,0.9088,0.9075,0.8964,0.8916
115,0.0005,0.1223,0.9895,0.9866,0.9849,0.9808,,,,,
120,0.0005,0.1191,0.9899,0.9871,0.9855,0.9814,0.5481,0.9076,0.9061,0.895,0.8897
125,0.0005,0.1204,0.9902,0.9869,0.9859,0.9815,,,,,
130,0.0005,0.1199,0.9904,0.9876,0.9861,0.9821,0.5955,0.9066,0.9055,0.8942,0.8893
135,0.0005,0.1144,0.9907,0.9883,0.9864,0.9828,,,,,
140,0.0005,0.114,0.9907,0.988,0.9865,0.9826,0.5874,0.906,0.9045,0.8932,0.8881
145,0.0005,0.1145,0.9906,0.9878,0.9863,0.9822,,,,,
