Epoch,LR,Loss,Train Micro AUROC,Train Micro AUPRC,Train Macro AUROC,Train Macro AUPRC,Validation Loss,Validation Micro AUROC,Validation Micro AUPRC,Validation Macro AUROC,Validation Macro AUPRC
,,,,,,,,,,,
0,0.0005,0.744,0.5222,0.4957,0.5136,0.4994,0.7168,0.5165,0.5118,0.5233,0.5116
5,0.0005,,,,,,0.645,0.6827,0.6813,0.6842,0.6737
10,0.0005,,,,,,0.6051,0.7315,0.7392,0.726,0.7275
15,0.0005,,,,,,0.5786,0.7601,0.7723,0.7576,0.761
20,0.0005,,,,,,0.5564,0.7817,0.7949,0.7783,0.7814
25,0.0005,,,,,,0.533,0.8024,0.816,0.7969,0.8018
30,0.0005,,,,,,0.5178,0.8175,0.8296,0.8134,0.8165
35,0.0005,,,,,,0.5015,0.8317,0.8426,0.8254,0.8276
40,0.0005,,,,,,0.4882,0.843,0.8522,0.835,0.836
45,0.0005,,,,,,0.4789,0.8513,0.8597,0.8429,0.8437
50,0.0005,0.3316,0.933,0.9295,0.9225,0.9163,0.4724,0.8583,0.8659,0.8492,0.8498
55,0.0005,,,,,,0.4673,0.8639,0.871,0.8544,0.8548
60,0.0005,,,,,,0.4626,0.8682,0.8747,0.8583,0.8583
65,0.0005,,,,,,0.4573,0.871,0.8776,0.8619,0.862
70,0.0005,,,,,,0.4554,0.8738,0.8801,0.8644,0.8644
75,0.0005,,,,,,0.4545,0.8776,0.8834,0.8671,0.8669
80,0.0005,,,,,,0.453,0.8792,0.8849,0.8692,0.8689
85,0.0005,,,,,,0.4606,0.8784,0.8849,0.8706,0.8708
90,0.0005,,,,,,0.4534,0.8828,0.8879,0.872,0.8713
95,0.0005,,,,,,0.4546,0.8829,0.8884,0.8727,0.8725
100,0.0005,0.2281,0.9683,0.9646,0.9594,0.9536,0.4609,0.8827,0.8885,0.8736,0.8737
105,0.0005,,,,,,0.4648,0.8834,0.8892,0.8741,0.8743
110,0.0005,,,,,,0.469,0.8841,0.8896,0.8747,0.8747
115,0.0005,,,,,,0.4731,0.8845,0.8899,0.875,0.8748
120,0.0005,,,,,,0.4662,0.887,0.8914,0.8759,0.875
125,0.0005,,,,,,0.4702,0.8874,0.8917,0.8759,0.8752
130,0.0005,,,,,,0.4736,0.8874,0.8917,0.8761,0.8752
135,0.0005,,,,,,0.4815,0.8869,0.8916,0.8761,0.8758
140,0.0005,,,,,,0.4993,0.8855,0.8906,0.8754,0.8753
145,0.0005,,,,,,0.4865,0.8891,0.8927,0.877,0.8757
