Epoch,LR,Loss,Train Micro AUROC,Train Micro AUPRC,Train Macro AUROC,Train Macro AUPRC,Validation Loss,Validation Micro AUROC,Validation Micro AUPRC,Validation Macro AUROC,Validation Macro AUPRC
,,,,,,,,,,,
0,0.0005,0.744,0.5222,0.4957,0.5136,0.4994,0.7168,0.5165,0.5118,0.5233,0.5116
5,0.0005,0.624,0.7256,0.7047,0.7238,0.6999,,,,,
10,0.0005,0.5623,0.7901,0.7834,0.786,0.7775,0.6051,0.7315,0.7392,0.726,0.7275
15,0.0005,0.5145,0.8296,0.8264,0.8214,0.8167,,,,,
20,0.0005,0.4766,0.854,0.8524,0.8449,0.8393,0.5565,0.7817,0.7949,0.7783,0.7814
25,0.0005,0.4435,0.8749,0.8751,0.8654,0.8624,,,,,
30,0.0005,0.4155,0.8923,0.891,0.8816,0.8772,0.5178,0.8175,0.8296,0.8134,0.8165
35,0.0005,0.3913,0.9048,0.9029,0.8943,0.889,,,,,
40,0.0005,0.3683,0.9158,0.9135,0.9051,0.8999,0.4882,0.843,0.8522,0.835,0.836
45,0.0005,0.3501,0.9248,0.9216,0.914,0.908,,,,,
50,0.0005,0.3316,0.933,0.9295,0.9225,0.9163,0.4724,0.8583,0.8659,0.8492,0.8497
55,0.0005,0.3165,0.9387,0.9349,0.9276,0.9211,,,,,
60,0.0005,0.3033,0.9445,0.9409,0.9336,0.9278,0.4625,0.8681,0.8747,0.8583,0.8583
65,0.0005,0.2898,0.9492,0.9455,0.9388,0.9329,,,,,
70,0.0005,0.2779,0.9534,0.9496,0.9431,0.9372,0.4554,0.8739,0.8802,0.8644,0.8643
75,0.0005,0.27,0.9565,0.9526,0.9464,0.9403,,,,,
80,0.0005,0.2584,0.9594,0.9557,0.9496,0.9441,0.4531,0.8795,0.8851,0.8693,0.8688
85,0.0005,0.2518,0.962,0.958,0.9525,0.9465,,,,,
90,0.0005,0.2451,0.9635,0.959,0.9543,0.9475,0.4551,0.8813,0.8871,0.8716,0.8714
95,0.0005,0.2365,0.966,0.9622,0.9567,0.9508,,,,,
100,0.0005,0.2283,0.9684,0.9646,0.9596,0.9537,0.4644,0.8823,0.8882,0.8734,0.8735
105,0.0005,0.2221,0.9702,0.9665,0.9618,0.9561,,,,,
110,0.0005,0.217,0.9712,0.9674,0.9628,0.957,0.461,0.8861,0.8907,0.8752,0.8744
115,0.0005,0.225,0.9716,0.9675,0.9635,0.9575,,,,,
120,0.0005,0.2075,0.9736,0.9698,0.9655,0.9598,0.4642,0.8879,0.892,0.8765,0.8754
125,0.0005,0.2029,0.9748,0.9707,0.9674,0.9612,,,,,
130,0.0005,0.2001,0.9756,0.9718,0.9681,0.9624,0.4809,0.8861,0.891,0.8758,0.8756
135,0.0005,0.1938,0.9768,0.9731,0.9695,0.9639,,,,,
140,0.0005,0.1913,0.9772,0.9736,0.9701,0.9645,0.4895,0.8865,0.8912,0.8759,0.8756
145,0.0005,0.1871,0.9778,0.9739,0.9708,0.9648,,,,,
