Epoch,LR,Loss,Train Micro AUROC,Train Micro AUPRC,Train Macro AUROC,Train Macro AUPRC,Validation Loss,Validation Micro AUROC,Validation Micro AUPRC,Validation Macro AUROC,Validation Macro AUPRC
,,,,,,,,,,,
0,0.0005,0.731,0.4706,0.4635,0.4648,0.4682,0.6908,0.5701,0.5511,0.5709,0.548
5,0.0005,0.5662,0.827,0.8336,0.8155,0.8171,,,,,
10,0.0005,0.4562,0.8957,0.9009,0.8934,0.8951,,,,,
15,0.0005,0.3818,0.9221,0.9228,0.9215,0.9186,,,,,
20,0.0005,0.322,0.9434,0.9415,0.9404,0.9354,,,,,
25,0.0005,0.2737,0.9591,0.9555,0.9537,0.9475,,,,,
30,0.0005,0.239,0.9673,0.9635,0.9615,0.9554,,,,,
35,0.0005,0.2154,0.9724,0.9686,0.9669,0.9613,,,,,
40,0.0005,0.1977,0.9761,0.9724,0.9708,0.9655,,,,,
45,0.0005,0.1853,0.9786,0.9746,0.9734,0.968,,,,,
50,0.0005,0.1738,0.9809,0.9769,0.9759,0.9702,0.4098,0.9127,0.9117,0.9028,0.8972
55,0.0005,0.1677,0.9819,0.9777,0.9768,0.9709,,,,,
60,0.0005,0.1601,0.9834,0.9799,0.9784,0.9733,,,,,
65,0.0005,0.1521,0.9849,0.9816,0.9801,0.9754,,,,,
70,0.0005,0.1466,0.9859,0.9826,0.981,0.9763,,,,,
75,0.0005,0.1439,0.9862,0.9828,0.9813,0.9763,,,,,
80,0.0005,0.1397,0.9868,0.9837,0.9821,0.9775,,,,,
85,0.0005,0.1361,0.9874,0.9842,0.9828,0.9781,,,,,
90,0.0005,0.1351,0.9875,0.9838,0.9828,0.9775,,,,,
95,0.0005,0.1319,0.9881,0.9846,0.9834,0.9783,,,,,
100,0.0005,0.1263,0.989,0.9859,0.9844,0.9799,0.5051,0.9096,0.9085,0.8972,0.8924
105,0.0005,0.1266,0.9891,0.9859,0.9847,0.9802,,,,,
110,0.0005,0.1243,0.9893,0.9864,0.9848,0.9805,,,,,
115,0.0005,0.1223,0.9895,0.9866,0.9849,0.9808,,,,,
120,0.0005,0.1191,0.9899,0.9871,0.9855,0.9814,,,,,
125,0.0005,0.1202,0.9902,0.987,0.9859,0.9815,,,,,
130,0.0005,0.1198,0.9904,0.9876,0.9861,0.9821,,,,,
135,0.0005,0.1147,0.9907,0.9883,0.9864,0.9828,,,,,
140,0.0005,0.114,0.9907,0.988,0.9865,0.9826,,,,,
145,0.0005,0.1145,0.9906,0.9878,0.9863,0.9822,,,,,
150,0.0005,0.1122,0.991,0.9881,0.9868,0.9827,0.609,0.9044,0.9023,0.8917,0.8859
155,0.0005,0.1103,0.9915,0.9891,0.9874,0.984,,,,,
160,0.0005,0.1082,0.9916,0.9892,0.9876,0.9841,,,,,
165,0.0005,0.1074,0.9916,0.9893,0.9876,0.9842,,,,,
170,0.0005,0.1078,0.9916,0.9891,0.9874,0.9838,,,,,
175,0.0005,0.1057,0.9919,0.9895,0.9879,0.9844,,,,,
180,0.0005,0.107,0.9917,0.9892,0.9876,0.984,,,,,
185,0.0005,0.1062,0.992,0.9895,0.9879,0.9843,,,,,
190,0.0005,0.1048,0.992,0.9894,0.9881,0.9845,,,,,
195,0.0005,0.1047,0.9922,0.9899,0.9882,0.9848,,,,,
200,0.0005,0.1058,0.9921,0.9894,0.988,0.9842,0.7061,0.8989,0.8955,0.8865,0.8795
205,0.0004,0.1028,0.9924,0.9903,0.9884,0.9853,,,,,
210,0.0004,0.1041,0.9922,0.9897,0.9883,0.9848,,,,,
215,0.0004,0.1003,0.9926,0.9905,0.9887,0.9856,,,,,
220,0.0004,0.1005,0.9926,0.9903,0.9885,0.9852,,,,,
225,0.0004,0.1008,0.9926,0.9904,0.9886,0.9855,,,,,
230,0.0004,0.0984,0.9929,0.9908,0.989,0.986,,,,,
235,0.0004,0.1004,0.9925,0.9901,0.9885,0.985,,,,,
240,0.0004,0.0994,0.9928,0.9904,0.9888,0.9856,,,,,
245,0.00032,0.0987,0.9927,0.9906,0.9887,0.9856,,,,,
250,0.00032,0.0984,0.9929,0.9908,0.989,0.986,0.8395,0.8945,0.8906,0.8821,0.8741
255,0.00026,0.0982,0.9928,0.9904,0.989,0.9856,,,,,
260,0.00026,0.1004,0.9928,0.9903,0.9889,0.9855,,,,,
265,0.00026,0.0965,0.9929,0.9907,0.9891,0.9859,,,,,
270,0.00026,0.0974,0.993,0.9908,0.9891,0.986,,,,,
