Epoch,Step,Learning Rate,Loss,Micro AUROC,Micro AUPRC,Macro AUROC,Macro AUPRC
0,0,0.00100,0.6931,0.4956,0.5225,0.5054,0.5942
0,500,0.00100,0.5417,0.7839,0.7586,0.8280,0.8528
0,1000,0.00100,0.5073,0.8164,0.7843,0.8740,0.8820
0,1500,0.00100,0.4873,0.8324,0.8044,0.9010,0.9062
0,2000,0.00100,0.4949,0.8193,0.7916,0.8731,0.8873
0,2500,0.00100,0.4680,0.8369,0.8107,0.8884,0.9077
0,3000,0.00100,0.4754,0.8358,0.8102,0.9433,0.9442
0,3500,0.00100,0.4568,0.8562,0.8299,0.8908,0.9101
0,4000,0.00100,0.4478,0.8528,0.8289,0.9237,0.9196
0,4500,0.00100,0.4593,0.8469,0.8199,0.9224,0.9170
0,5000,0.00100,0.4411,0.8619,0.8348,0.8991,0.9133
0,5500,0.00100,0.4696,0.8352,0.8072,0.8834,0.9028
0,6000,0.00100,0.4492,0.8576,0.8316,0.9199,0.9236
0,6500,0.00100,0.4881,0.8632,0.8360,0.9306,0.9304
1,0,0.00100,0.4302,0.8708,0.8432,0.9360,0.9331
1,500,0.00100,0.4561,0.8457,0.8168,0.8816,0.8933
1,1000,0.00100,0.4295,0.8659,0.8439,0.9349,0.9316
1,1500,0.00100,0.4289,0.8650,0.8455,0.9444,0.9357
1,2000,0.00100,0.4381,0.8648,0.8448,0.8994,0.9100
1,2500,0.00100,0.4264,0.8685,0.8468,0.9307,0.9259
1,3000,0.00100,0.4311,0.8684,0.8459,0.9459,0.9426
1,3500,0.00100,0.4367,0.8738,0.8476,0.9452,0.9444
1,4000,0.00100,0.4345,0.8686,0.8415,0.8988,0.9113
1,4500,0.00100,0.4233,0.8654,0.8450,0.9507,0.9489
1,5000,0.00100,0.4215,0.8760,0.8518,0.9321,0.9294
1,5500,0.00100,0.4115,0.8765,0.8523,0.9284,0.9267
1,6000,0.00100,0.4273,0.8666,0.8442,0.9312,0.9254
1,6500,0.00100,0.4167,0.8720,0.8486,0.9165,0.9310
2,0,0.00100,0.4019,0.8881,0.8701,0.9618,0.9577
2,500,0.00100,0.4184,0.8753,0.8476,0.9299,0.9272
2,1000,0.00100,0.4289,0.8689,0.8418,0.9514,0.9417
2,1500,0.00100,0.3978,0.8804,0.8666,0.9574,0.9564
2,2000,0.00100,0.4012,0.8829,0.8617,0.9431,0.9395
2,2500,0.00100,0.4323,0.8688,0.8359,0.9478,0.9415
2,3000,0.00100,0.4110,0.8752,0.8533,0.9514,0.9441
2,3500,0.00100,0.4021,0.8813,0.8584,0.9537,0.9522
2,4000,0.00100,0.4248,0.8710,0.8468,0.9403,0.9333
2,4500,0.00100,0.4196,0.8749,0.8519,0.9508,0.9461
2,5000,0.00100,0.4134,0.8747,0.8548,0.9552,0.9496
2,5500,0.00100,0.3945,0.8851,0.8673,0.9274,0.9381
2,6000,0.00100,0.3952,0.8853,0.8636,0.9540,0.9513
2,6500,0.00100,0.4158,0.8724,0.8459,0.9131,0.9230
