idx,id,name
18584.0,55178,MRM3
21303.0,6448,SGSH
25903.0,859,CAV3
1455.0,100422945,MIR4326
18821.0,55451,LINC00216
9787.0,2306,FOXD2
15337.0,400709,SIGLEC16
1145.0,100313771,MIR548F2
20427.0,5996,RGS1
23016.0,728450,LINC00687
9115.0,205428,DIPK2A
16992.0,50614,GALNT9
5748.0,11132,CAPN10
13315.0,3207,HOXA11
7035.0,133686,NADK2
6893.0,129852,C2orf73
10212.0,23554,TSPAN12
10023.0,23321,TRIM2
10983.0,26061,HACL1
14692.0,388121,TNFAIP8L3
4818.0,106481031,RN7SL395P
19351.0,56474,CTPS2
6404.0,120,ADD3
13903.0,346157,ZNF391
16442.0,4511,MT-TC
3769.0,10396,ATP8A1
26819.0,92749,DRC1
17596.0,51667,NUB1
21279.0,644524,NKX2-4
8095.0,1573,CYP2J2
19183.0,5594,MAPK1
13170.0,3092,HIP1
15817.0,4108,MAGEA9
8506.0,169966,TENT5D
7989.0,153129,SLC38A9
7914.0,151647,TAFA4
22813.0,7172,TPMT
10744.0,25806,VAX2
25947.0,8642,DCHS1
25069.0,83886,PRSS27
13046.0,29994,BAZ2B
14322.0,3734,ANOS2P
14022.0,349136,WDR86
19709.0,5729,PTGDR
18747.0,55333,SYNJ2BP
22391.0,6890,TAP1
10231.0,23581,CASP14
22176.0,6736,SRY
19656.0,57171,DOLPP1
25450.0,84614,ZBTB37
16727.0,4841,NONO
6123.0,114900,C1QTNF4
26798.0,9262,STK17B
10249.0,23598,PATZ1
7338.0,140832,WFDC10A
21347.0,645142,PPIAL4D
2756.0,100885776,UGDH-AS1
7677.0,147949,ZNF583
12932.0,29796,UQCR10
24318.0,80010,RMI1
18130.0,54583,EGLN1
21787.0,65220,NADK
12299.0,285525,YIPF7
25143.0,84065,TMEM222
14043.0,350383,GPR142
10828.0,25907,TMEM158
7005.0,132671,SPATA18
14550.0,3836,KPNA1
6419.0,120400,NXPE1
20610.0,6159,RPL29
24396.0,80178,TEDC2
19929.0,57531,HACE1
15446.0,401494,HACD4
5968.0,11322,TMC6
9556.0,2263,FGFR2
26398.0,9049,AIP
7133.0,1365,CLDN3
23569.0,767579,SNORD114-3
15285.0,400058,MKRN9P
21504.0,646701,DPPA5P4
14237.0,3638,INSIG1
17683.0,5195,PEX14
26964.0,93663,ARHGAP18
19043.0,55762,ZNF701
8271.0,161514,TBC1D21
15348.0,400793,C1orf226
13768.0,3422,IDI1
19881.0,57472,CNOT6
22544.0,693183,MIR598
27202.0,9570,GOSR2
8565.0,171023,ASXL1
13196.0,3119,HLA-DQB1
15869.0,414236,C10orf55
15645.0,406924,MIR134
11839.0,283310,OTOGL
9012.0,2018,EMX2
7693.0,148156,ZNF558
18608.0,55200,PLEKHG6
9960.0,23247,KIAA0556
762.0,100270903,RPS29P6
5895.0,11262,SP140
26137.0,8851,CDK5R1
13753.0,3417,IDH1
23546.0,7639,ZNF85
26034.0,8735,MYH13
7801.0,150082,LCA5L
2131.0,100631383,FAM47E-STBD1
22317.0,6809,STX3
20893.0,63973,NEUROG2
6747.0,127281,PRXL2B
18679.0,55275,VPS53
16277.0,441736,GOLGA8VP
5329.0,10765,KDM5B
25828.0,85438,CABS1
18310.0,54877,ZCCHC2
20199.0,5836,PYGL
2057.0,100616284,MIR4489
15458.0,401561,LINC01451
15549.0,4040,LRP6
13255.0,317716,BPIFA4P
24608.0,8110,DPF3
17250.0,51192,CKLF
16452.0,4528,MTIF2
16465.0,4548,MTR
25853.0,85463,ZC3H12C
7114.0,135946,OR6B1
15638.0,406917,MIR129-1
16159.0,440561,PRAMEF6
3128.0,101928138,LINC01486
11521.0,27136,MORC1
770.0,100270943,RPL17P17
9468.0,221935,SDK1
10984.0,26063,DECR2
8094.0,157285,PRAG1
12376.0,28589,TRBV7-9
27480.0,9861,PSMD6
22851.0,723779,MIR651
20580.0,613037,NPIPB13
18875.0,55571,CNOT11
23390.0,7421,VDR
22754.0,7109,TRAPPC10
27306.0,9681,DEPDC5
18509.0,55095,SAMD4B
9194.0,2147,F2
25983.0,8678,BECN1
6978.0,131909,FAM172BP
4049.0,1058,CENPA
24912.0,83461,CDCA3
19783.0,574434,MIR410
14020.0,3491,CCN1
24713.0,8161,COIL
26511.0,91074,ANKRD30A
4759.0,106480855,RN7SKP73
19466.0,56911,MAP3K7CL
1508.0,100462813,RHOT1P1
17281.0,51233,DRICH1
26197.0,8914,TIMELESS
15031.0,390616,ANKRD34C
27162.0,9528,TMEM59
20090.0,57717,PCDHB16
7175.0,138046,RALYL
9170.0,2117,ETV3
13328.0,322,APBB1
16649.0,474383,F8A2
19323.0,56269,IRGC
16677.0,4780,NFE2L2
23761.0,79000,AUNIP
8773.0,1943,EFNA2
17497.0,51523,CXXC5
20195.0,5831,PYCR1
13876.0,345193,LRIT3
16412.0,4482,MSRA
4870.0,106481149,RN7SL836P
12050.0,28427,IGHV3-42
19642.0,57153,SLC44A2
16805.0,493,ATP2B4
9837.0,23117,NPIPB3
16756.0,488,ATP2A2
23747.0,78986,DUSP26
24405.0,80198,MUS81
8359.0,163702,IFNLR1
19100.0,55823,VPS11
14037.0,35,ACADS
5899.0,11269,DDX19B
26931.0,9349,RPL23
18718.0,55311,ZNF444
6097.0,114805,GALNT13
3691.0,10344,CCL26
11692.0,2777,GNAQP1
2609.0,100874155,LINC00392
6383.0,119504,ANAPC16
19081.0,55801,IL26
18911.0,5562,PRKAA1
13690.0,340385,ZNF517
23994.0,79612,NAA16
16826.0,494118,SPANXN1
17982.0,5428,POLG
9756.0,23025,UNC13A
18710.0,553,AVPR1B
7448.0,144193,AMDHD1
23374.0,7402,UTRN
4060.0,10591,DNPH1
6964.0,131544,CRYBG3
8167.0,158405,KIAA1958
13332.0,3224,HOXC8
7008.0,132724,TMPRSS11B
2330.0,100873400,RNA5SP131
17767.0,5295,PIK3R1
543.0,100132386,KRTAP4-9
25421.0,84529,CDIN1
14093.0,353238,PADI6
7384.0,142683,ITLN2
25659.0,84926,SPRYD3
6517.0,123096,SLC25A29
125.0,100113379,SNORD121A
2480.0,100873937,GRM7-AS1
7541.0,146050,ZSCAN29
2552.0,100874047,LINC00499
26035.0,8736,MYOM1
16536.0,4632,MYL1
7189.0,138428,PTRH1
5206.0,107075116,MIR3142HG
3946.0,10527,IPO7
17791.0,5321,PLA2G4A
26051.0,8754,ADAM9
7191.0,138474,TAF1L
7238.0,139542,E2F6P4
7307.0,140707,BRI3BP
17021.0,5074,PAWR
13014.0,29953,TRHDE
7333.0,140809,SRXN1
11694.0,2779,GNAT1
26639.0,91746,YTHDC1
15203.0,3954,LETM1
19447.0,56892,TCIM
16481.0,4571,MT-TP
1046.0,100302169,MIR320D2
19305.0,56243,KIAA1217
13442.0,3338,DNAJC4
25627.0,84892,POMGNT2
18597.0,55191,NADSYN1
26429.0,9063,PIAS2
12608.0,28776,IGLV7-43
2287.0,100873269,MTND5P20
