idx,id,name,PDB ID,UniProt Accession
1.0,10,NAT2,2PFR,P11245
2.0,100,ADA,3IAR,P00813
2.0,100,ADA,1ADN,P06134
2.0,100,ADA,3EWD,A5KE01
2.0,100,ADA,1SFE,P06134
2.0,100,ADA,1U8B,P06134
2.0,100,ADA,6II7,Q8IJA9
2.0,100,ADA,3KM8,P03958
3.0,1000,CDH2,1OP4,P15116
3.0,1000,CDH2,1NCH,P15116
3.0,1000,CDH2,3Q2W,P15116
3.0,1000,CDH2,4NUP,P15116
4.0,10000,AKT3,2X18,Q9Y243
12.0,10001,MED6,5U0S,Q9US45
12.0,10001,MED6,5U0S,Q9US45
12.0,10001,MED6,5U0S,Q9US45
12.0,10001,MED6,5U0S,Q9US45
12.0,10001,MED6,5U0S,Q9US45
12.0,10001,MED6,4H63,Q9US45
12.0,10001,MED6,5U0S,Q9US45
12.0,10001,MED6,4H61,Q9US45
12.0,10001,MED6,5U0S,Q9US45
12.0,10001,MED6,5U0S,Q9US45
14.0,10003,NAALAD2,3FED,Q9Y3Q0
94.0,10004,NAALADL1,4TWE,Q9UQQ1
106.0,10007,GNPDA1,1NE7,P46926
108.0,10008,KCNE3,2NDJ,Q9Y6H6
114.0,1001,CDH3,4ZMT,P22223
114.0,1001,CDH3,5JYL,P22223
114.0,1001,CDH3,4NQQ,P10287
124.0,10011,SRA1,2YRU,Q80VJ2
124.0,10011,SRA1,2MGX,Q9HD15
124.0,10011,SRA1,4NBO,Q9HD15
378.0,10013,HDAC6,3C5K,Q9UBN7
464.0,100131187,TSTD1,6BEV,Q8NFU3
624.0,100134934,TEN1,3K0X,P0C5Y7
626.0,100137047,JMJD7,5NFN,P0C870
626.0,100137047,JMJD7,4QU2,P0C872
665.0,10016,PDCD6,3AAJ,O75340
691.0,10017,BCL2L10,4B4S,Q9HD36
691.0,10017,BCL2L10,2KUA,Q9Z0F3
728.0,10020,GNE,4ZHT,Q9Y223
874.0,100271849,MEF2B,6BYY,Q02080
874.0,100271849,MEF2B,6C9L,Q02080
878.0,100272147,CMC4,2HP8,P56277
965.0,100288687,DUX4,5Z6Z,Q9UBX2
965.0,100288687,DUX4,5Z2T,Q9UBX2
1017.0,1003,CDH5,3PPE,Q8AYD0
1190.0,10038,PARP2,5DSY,Q9UGN5
1190.0,10038,PARP2,1GS0,O88554
