gene_id,sequence
NP_001397161.1,NRF1
NP_005944.1,MT1L
XP_060676585.1,MRPL9
XP_060688732.1,TAF1
XP_060625469.1,DNAJC3
XP_060682827.1,TUBGCP5
NP_001392184.1,HK2
XP_060691638.1,CCNB1
XP_060691589.1,PIK3R1
XP_060479115.1,CDKL4
XP_060498943.1,IFIT2
NP_001343331.1,XRN2
XP_060712061.1,PPP5C
NP_001405492.1,SP8
XP_060696514.1,COPS3
NP_001300848.1,VHL
XP_060712080.1,AP2S1
XP_060636370.1,PRPF31
XP_060698260.1,DUSP5
XP_060692224.1,CTSA
NP_035770.2,SETD7
NP_001082039.1,CHEK1
XP_060704675.1,DDX42
XP_060638635.1,AQP1
NP_001026024.2,STK4
XP_060616875.1,TMEM52B
NP_002189.1,CSNK2B
NP_001254803.1,HSPA1A
XP_060619023.1,PRKAR1A
XP_060619289.1,PLP2
NP_001077058.1,CALM2
XP_060712446.1,RNF181
XP_060711016.1,LMNA
XP_060706017.1,E2F3
XP_060709234.1,RAB11A
NP_001397371.1,HIF1AN
NP_001386102.1,HMGB1
XP_060626487.1,FTH1
XP_060474069.1,ISLR
XP_060495125.1,SERPINI2
XP_060489300.1,CLEC5A
XP_060547650.1,GRB7
NP_057051.4,INS
XP_060702057.1,SF3A2
KAK2509179.1,MAGEA1
XP_060618654.1,EPHA1
XP_060550692.1,UACA
XP_060639509.1,ACTB
XP_060692751.1,PDE6A
XP_060702146.1,JUND
XP_060550839.1,APBB2
XP_060621791.1,DCAF1
XP_060612650.1,TRAF4
XP_060707755.1,PPP2CB
NP_001399413.1,KIT
XP_060697453.1,STOM
XP_060619758.1,TSTD2
XP_060545665.1,EPB41L1
XP_060699953.1,BRAP
XP_060698726.1,SMO
XP_060613353.1,GSN
XP_060681070.1,CUL2
XP_060612720.1,YWHAG
XP_060703280.1,UTP11
XP_060702821.1,RFX3
XP_060619525.1,KANK2
XP_060541045.1,MTX1
NP_066408.1,H2AC15
XP_060549837.1,ZNF574
XP_060644386.1,ZNF319
Q9BQ66.1,KRTAP4-12
XP_060701172.1,MDFI
NP_001397426.1,AR
WP_003218476.1,HTRA1
XP_060613083.1,NOS2
XP_060694829.1,EPS8
XP_060678500.1,RPL10
XP_060677248.1,BLK
XP_060474777.1,EPB42
XP_060703986.1,VCP
XP_060683541.1,NBEAL1
XP_060540577.1,TTF1
XP_060710149.1,PCBD1
NP_001383913.1,MAPK1
NP_034071.2,COX4I1
NP_783328.1,EED
XP_060679958.1,PRDM14
XP_060639437.1,UBB
XP_060709290.1,E2F6
NP_001366129.1,TBX1
NP_001273139.1,USF2
XP_060677060.1,RHEB
XP_060634932.1,PGRMC2
XP_060703061.1,PIH1D2
XP_060679817.1,TRIM23
XP_060485341.1,H1-5
XP_060615689.1,MRPL50
XP_060684167.1,ATG9A
XP_060641760.1,GSC2
XP_060705190.1,TOM1
XP_060708223.1,YBX1
XP_060639664.1,SERTAD1
XP_060633685.1,ANKRD26
NP_989708.3,DBT
XP_060701300.1,TMCC2
XP_060636856.1,HOXB5
XP_060687499.1,MTIF2
XP_060683828.1,PLAUR
XP_060705125.1,MAP3K7
KAK2497231.1,SERPINB4
XP_060686893.1,NEK2
XP_060548934.1,NME4
XP_060643278.1,ZMAT4
XP_060704555.1,PARP1
